R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
IGVFFI2244JCFU,IGVFFI8572CAUP,hash,IGVFDS6980CXOR,1,5,IGVFFI2224ZDCC,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI5504YKPH,IGVFFI0338PGAN,hash,IGVFDS2933CBPV,1,5,IGVFFI7385WYWW,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI4519HENO,IGVFFI9457TPZA,hash,IGVFDS7181KBXZ,1,5,IGVFFI5563KUWN,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI3718JQZK,IGVFFI2648FJKR,gRNA,IGVFDS2933CBPV,1,5,IGVFFI8816BUIS,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6496YSOV,IGVFFI2940YBWE,gRNA,IGVFDS2933CBPV,1,3,IGVFFI8816BUIS,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI1080KFHG,IGVFFI8400HXRP,gRNA,IGVFDS9568EYXJ,1,5,IGVFFI9078PBTG,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4896IRCO,IGVFFI3231OAFI,gRNA,IGVFDS9568EYXJ,1,3,IGVFFI9078PBTG,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2832GVEG,IGVFFI0194IWWL,gRNA,IGVFDS5304ZOXD,1,3,IGVFFI6793QXXI,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI1665PBCE,IGVFFI8107WHUZ,gRNA,IGVFDS5304ZOXD,1,5,IGVFFI6793QXXI,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI5342OHPE,IGVFFI8517TEJL,gRNA,IGVFDS6980CXOR,1,3,IGVFFI1802EPMA,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI9283BLYB,IGVFFI9144LZQR,gRNA,IGVFDS6980CXOR,1,5,IGVFFI1802EPMA,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI1479AWZH,IGVFFI6563TULP,hash,IGVFDS0814DYDR,1,5,IGVFFI0267XCPU,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI6913ZZBN,IGVFFI6883JKSS,hash,IGVFDS7696ONVJ,1,5,IGVFFI9227FGVG,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI0115REVJ,IGVFFI4410ZSSA,gRNA,IGVFDS9699UXJW,1,3,IGVFFI9190GLBU,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6109ACZB,IGVFFI8480TUGN,gRNA,IGVFDS9699UXJW,1,5,IGVFFI9190GLBU,IGVFFI9487JPEN,IGVFFI8270UPKB,
