short_name	gene_name	n_cells_assigned	n_guides	label_canonical
Hon CM	HOXA11	1038	6	tf_targeting
Hon CM	HOXA13	2637	6	tf_targeting
Hon CM	HOXA2	674	6	tf_targeting
Hon CM	HOXA3	2529	12	tf_targeting
Hon CM	HOXA4	1446	6	tf_targeting
Hon CM	HOXA5	885	6	tf_targeting
Hon CM	HOXA6	1232	6	tf_targeting
Hon CM	HOXA7	1119	6	tf_targeting
Hon CM	HOXA9	671	6	tf_targeting
Hon CM	HOXB1	1127	6	tf_targeting
Hon CM	HOXB13	1841	6	tf_targeting
Hon CM	HOXB2	628	6	tf_targeting
Hon CM	HOXB3	1363	6	tf_targeting
Hon CM	HOXB4	897	6	tf_targeting
Hon CM	HOXB5	895	6	tf_targeting
Hon CM	HOXB6	2650	12	tf_targeting
Hon CM	HOXB7	1265	6	tf_targeting
Hon CM	HOXB8	2249	12	tf_targeting
Hon CM	HOXB9	1927	6	tf_targeting
Hon CM	HOXC10	900	6	tf_targeting
Hon CM	HOXC11	968	6	tf_targeting
Hon CM	HOXC12	1229	6	tf_targeting
Hon CM	HOXC13	1075	6	tf_targeting
Hon CM	HOXC4	290	6	tf_targeting
Hon CM	HOXC5	265	2	tf_targeting
Hon CM	HOXC6	216	2	tf_targeting
Hon CM	HOXC8	2260	6	tf_targeting
Hon CM	HOXC9	2289	6	tf_targeting
Hon CM	HOXD1	762	6	tf_targeting
Hon CM	HOXD10	1981	12	tf_targeting
Hon CM	HOXD11	1527	6	tf_targeting
Hon CM	HOXD12	1506	6	tf_targeting
Hon CM	HOXD13	1458	6	tf_targeting
Hon CM	HOXD3	1023	6	tf_targeting
Hon CM	HOXD4	679	6	tf_targeting
Hon CM	HOXD8	1871	6	tf_targeting
Hon CM	HOXD9	1532	6	tf_targeting
Hon CM	HR	1958	12	tf_targeting
Hon CM	HSF1	780	6	tf_targeting
Hon CM	HSF2	903	6	tf_targeting
Hon CM	HSF4	1406	6	tf_targeting
Hon CM	HSF5	1148	6	tf_targeting
Hon CM	ID1	1040	6	tf_targeting
Hon CM	ID2	1564	12	tf_targeting
Hon CM	ID3	443	6	tf_targeting
Hon CM	ID4	1141	6	tf_targeting
Hon CM	IFI16	929	6	tf_targeting
Hon CM	IGFBP1	847	6	tf_targeting
Hon CM	IGHMBP2	267	6	tf_targeting
Hon CM	IKZF1	1010	6	tf_targeting
Hon CM	IKZF2	2025	12	tf_targeting
Hon CM	IKZF3	2395	6	tf_targeting
Hon CM	IKZF4	3342	12	tf_targeting
Hon CM	IKZF5	1802	6	tf_targeting
Hon CM	ILF2	21	6	tf_targeting
Hon CM	ILF3	214	6	tf_targeting
Hon CM	ING1	1579	12	tf_targeting
Hon CM	ING4	735	6	tf_targeting
Hon CM	INSM1	1962	6	tf_targeting
Hon CM	INSM2	666	6	tf_targeting
Hon CM	IRF1	2146	6	tf_targeting
Hon CM	IRF2	777	6	tf_targeting
Hon CM	IRF3	1306	6	tf_targeting
Hon CM	IRF4	1905	12	tf_targeting
Hon CM	IRF5	3234	12	tf_targeting
Hon CM	IRF6	1467	6	tf_targeting
Hon CM	IRF7	1799	6	tf_targeting
Hon CM	IRF8	1075	6	tf_targeting
Hon CM	IRF9	1062	6	tf_targeting
Hon CM	IRX1	1430	6	tf_targeting
Hon CM	IRX2	1160	6	tf_targeting
Hon CM	IRX3	743	6	tf_targeting
Hon CM	IRX4	1041	6	tf_targeting
Hon CM	IRX5	930	6	tf_targeting
Hon CM	IRX6	639	6	tf_targeting
Hon CM	ISL1	1890	12	tf_targeting
Hon CM	ISL2	963	6	tf_targeting
Hon CM	ISX	1002	6	tf_targeting
Hon CM	JAZF1	1179	6	tf_targeting
Hon CM	JDP2	1412	6	tf_targeting
Hon CM	JRK	2767	12	tf_targeting
Hon CM	JRKL	983	6	tf_targeting
Hon CM	JUN	931	6	tf_targeting
Hon CM	JUNB	2189	6	tf_targeting
Hon CM	JUND	2689	6	tf_targeting
Hon CM	JUP	1260	6	tf_targeting
Hon CM	KAT2A	131	6	tf_targeting
Hon CM	KAT7	739	6	tf_targeting
Hon CM	KCMF1	784	6	tf_targeting
Hon CM	KCNIP3	1874	6	tf_targeting
Hon CM	KDM2A	222	6	tf_targeting
Hon CM	KDM2B	2126	12	tf_targeting
Hon CM	KDM4C	1278	6	tf_targeting
Hon CM	KDM4E	705	6	tf_targeting
Hon CM	KDM5B	1655	6	tf_targeting
Hon CM	KDM5C	1094	6	tf_targeting
Hon CM	KIAA1549	609	6	tf_targeting
Hon CM	KIAA2018	790	6	tf_targeting
Hon CM	KIN	107	6	tf_targeting
Hon CM	KLF1	693	6	tf_targeting
Hon CM	KLF10	1813	12	tf_targeting
Hon CM	KLF11	2056	6	tf_targeting
Hon CM	KLF12	2518	6	tf_targeting
Hon CM	KLF13	5123	6	tf_targeting
Hon CM	KLF14	1551	5	tf_targeting
Hon CM	KLF15	2711	6	tf_targeting
Hon CM	KLF16	423	6	tf_targeting
Hon CM	KLF17	950	6	tf_targeting
Hon CM	KLF2	1566	6	tf_targeting
Hon CM	KLF3	1518	6	tf_targeting
Hon CM	KLF4	3145	12	tf_targeting
