,pval_outlier
non-targeting_01190,1
non-targeting_01197,1
non-targeting_01206,1
non-targeting_01209,1
non-targeting_01215,0
non-targeting_01218,1
non-targeting_01224,1
non-targeting_01227,1
non-targeting_01236,1
non-targeting_01241,1
non-targeting_01242,1
non-targeting_01245,1
non-targeting_01269,1
non-targeting_01273,1
non-targeting_01278,1
non-targeting_01288,1
non-targeting_01294,1
non-targeting_01295,1
non-targeting_01296,1
non-targeting_01298,1
non-targeting_01311,1
non-targeting_01326,1
non-targeting_01332,1
non-targeting_01339,1
non-targeting_01341,1
non-targeting_01342,1
non-targeting_01344,1
non-targeting_01348,1
non-targeting_01349,1
non-targeting_01355,1
non-targeting_01359,1
non-targeting_01368,1
non-targeting_01371,1
non-targeting_01373,1
non-targeting_01376,0
non-targeting_01382,1
non-targeting_01395,1
non-targeting_01401,1
non-targeting_01403,1
non-targeting_01412,0
non-targeting_01421,1
non-targeting_01425,1
non-targeting_01431,1
non-targeting_01432,1
non-targeting_01436,1
non-targeting_01451,1
non-targeting_01460,1
non-targeting_01469,1
non-targeting_01482,1
non-targeting_01485,1
non-targeting_01493,1
non-targeting_01498,0
non-targeting_01499,1
non-targeting_01524,1
non-targeting_01525,1
non-targeting_01527,1
non-targeting_01528,1
non-targeting_01530,1
non-targeting_01538,1
non-targeting_01550,1
non-targeting_01566,0
non-targeting_01570,1
non-targeting_01572,1
non-targeting_01581,1
non-targeting_01586,1
non-targeting_01591,1
non-targeting_01593,1
non-targeting_01603,1
non-targeting_01607,1
non-targeting_01615,1
non-targeting_01628,1
non-targeting_01629,1
non-targeting_01636,1
non-targeting_01648,0
non-targeting_01655,1
non-targeting_01666,1
non-targeting_01668,0
non-targeting_01669,1
non-targeting_01679,1
non-targeting_01681,1
non-targeting_01684,1
non-targeting_01695,1
non-targeting_01705,1
non-targeting_01721,0
non-targeting_01723,1
non-targeting_01725,1
non-targeting_01736,1
non-targeting_01744,1
non-targeting_01757,1
non-targeting_01759,1
non-targeting_01763,1
non-targeting_01778,1
non-targeting_01779,1
non-targeting_01786,1
non-targeting_01796,0
non-targeting_01800,1
non-targeting_01801,1
non-targeting_01806,1
non-targeting_01822,1
non-targeting_01826,1
non-targeting_01831,0
non-targeting_01833,1
non-targeting_01855,1
non-targeting_01857,1
non-targeting_01859,1
non-targeting_01861,1
non-targeting_01869,1
non-targeting_01879,1
non-targeting_01890,0
non-targeting_01900,1
non-targeting_01903,1
non-targeting_01908,1
non-targeting_01910,1
non-targeting_01914,1
non-targeting_01920,1
